year,GEOID,NAME,estimate
2020,1,Alabama,4893186
2020,2,Alaska,736990
2020,4,Arizona,7174064
2020,5,Arkansas,3011873
2020,6,California,39346023
2020,8,Colorado,5684926
2020,9,Connecticut,3570549
2020,10,Delaware,967679
2020,12,Florida,21216924
2020,13,Georgia,10516579
2020,15,Hawaii,1420074
2020,16,Idaho,1754367
2020,17,Illinois,12716164
2020,18,Indiana,6696893
2020,19,Iowa,3150011
2020,20,Kansas,2912619
2020,21,Kentucky,4461952
2020,22,Louisiana,4664616
2020,23,Maine,1340825
2020,24,Maryland,6037624
2020,25,Massachusetts,6873003
2020,26,Michigan,9973907
2020,27,Minnesota,5600166
2020,28,Mississippi,2981835
2020,29,Missouri,6124160
2020,30,Montana,1061705
2020,31,Nebraska,1923826
2020,32,Nevada,3030281
2020,33,New Hampshire,1355244
2020,34,New Jersey,8885418
2020,35,New Mexico,2097021
2020,36,New York,19514849
2020,37,North Carolina,10386227
2020,38,North Dakota,760394
2020,39,Ohio,11675275
2020,40,Oklahoma,3949342
2020,41,Oregon,4176346
2020,42,Pennsylvania,12794885
2020,44,Rhode Island,1057798
2020,45,South Carolina,5091517
2020,46,South Dakota,879336
2020,47,Tennessee,6772268
2020,48,Texas,28635442
2020,49,Utah,3151239
2020,50,Vermont,624340
2020,51,Virginia,8509358
2020,53,Washington,7512465
2020,54,West Virginia,1807426
2020,55,Wisconsin,5806975
2020,56,Wyoming,581348
